Board,postsPerDay_mean,dailyPeakPostsPerMinute_mean,OPLength_mean,repliesWithImages_ratio,repliesWithText_ratio,repliesPerThread_mean,repliesPerThread_standardDeviation,repliesPerThread_coefficientOfVariation,repliesPerMinutePerThread_mean,repliesPerMinutePerThread_standardDeviation,repliesPerMinutePerThread_coefficientOfVariation,postLengthByPost_mean,postLengthByPost_standardDeviation,postLengthByPost_coefficientOfVariation,postLengthByThread_mean,postLengthByThread_standardDeviation,postLengthByThread_coefficientOfVariation,postersPerThread_mean,postersPerThread_standardDeviation,postersPerThread_coefficientOfVariation,postsByPoster_mean,postsByPoster_standardDeviation,postsByPoster_coefficientOfVariation,threadAgeHours_mean,threadAgeHours_standardDeviation,threadAgeHours_coefficientOfVariation,created
3,164.29306361440712,0.2070671973493462,227.89360336325277,0.21113760896581205,0.9612927776387995,41.72669027029321,73.35923924057397,1.7580865556510619,0.0019005645142897163,0.004497857932368476,2.2578071768973413,165.92782170920148,227.64118589520194,1.3719218804686346,163.20351148110896,119.81742265438062,0.734155018903457,20.530198128626548,27.176738055853416,1.323746556506484,1.603990336547833,0.7383913778775756,0.4603481899472275,594.2095173789663,935.8190911110555,1.5749583979169792,1531434023474
a,45225.7826420051,40.842853045206134,101.44557665511577,0.29234948388003296,0.9221486601974219,111.46707351663453,136.3911294716652,1.2247497697113359,0.24118398818729,0.3378761154183713,1.3966771622709515,93.7516505973304,149.0226724697297,1.5891300061915932,86.8601981774786,60.3709622678743,0.6865891563093053,40.3133231952483,39.80316810953362,0.9874808431522509,2.217301628345926,1.3453421468488742,0.6013167671781663,9.508889296389514,11.808188072450804,1.2465742350203006,1531434174675
aco,2364.3429337840516,2.3767475683227133,162.3658663093391,0.6364426113884941,0.5285064581219027,145.27670993734225,95.56931784236919,0.6579065834411603,0.020911596864212803,0.05641394947596915,2.605519935188546,54.87646655374826,142.20042241601317,2.5918101648387197,45.1651825463486,52.050530425888034,1.1426168401299808,44.27675863549181,32.863299863550246,0.7423969839795301,4.01950099969753,2.3585102827219884,0.5865063827860936,388.427555000145,383.05599411189604,0.9862321566008374,1531434246828
adv,3693.679712263698,3.473683920916164,484.471682783628,0.06347003682531017,0.9924559164745285,14.226621897906826,28.703760374950615,2.0015527001886344,0.036845037240771206,0.06064834078840708,1.6220927066104072,229.11875380980175,289.73977842918606,1.2650464164118522,258.6430238584051,193.54452167180366,0.74566952205157,8.911497969873745,13.688142406815672,1.5269238865487023,1.485261026604669,0.620282573276272,0.4161576547293874,8.409333934893246,8.613426510950761,1.0368746354226266,1531434299109
an,1076.7741253244128,1.1179194763448594,252.1958264257106,0.2958058616269211,0.8946636666099003,53.75667490538464,79.93499806586372,1.486950698567789,0.011999541859216277,0.026996930214634726,2.2418281008423917,133.36822444814942,216.18131811848355,1.6209868304331838,128.7817166261469,88.41698809107038,0.6862800462764955,26.719092029445264,33.49836811212571,1.253794141150836,1.7300171546975525,1.0179270794489856,0.5882064854690917,135.3014553429213,267.76998415725456,1.97959377662404,1531434327102
asp,5361.742158470547,5.532098618645861,155.12486555603607,0.2548112069848111,0.9071016733034653,32.83497964482067,56.31740629671885,1.7167561012357335,0.04701431836659398,0.07213227608099453,1.483138173930971,82.64682440923131,131.60922118673986,1.5925264403221318,84.30262367128203,59.63482079480755,0.7058244055093198,17.097682282557564,16.92373699508939,0.9907951091605094,1.5495153492488667,1.1018889369924563,0.7112609895134859,19.15587931591001,35.01289643198682,1.8347870584603256,1531434385104
b,93065.28836230288,80.70437309326509,132.8584182677196,0.40250776849266345,0.7794652661511875,47.1595720270435,70.76109245771096,1.5043409667610075,0.5210884857384007,0.6695195887400535,1.2876489771282296,65.93601599601821,146.8559748663774,2.2288129271855253,85.40491607051267,118.70014770936267,1.363016576061076,18.74259793988432,26.32250069785225,1.400681550686217,2.1959432011142086,1.6215291289740745,0.7339055564504627,1.315469722083413,1.625907568238565,1.2377441336479766,1531434537302
bant,11296.167716907117,13.677613690658198,135.457543295672,0.3907051213610057,0.9299312981479999,24.920241806558632,42.105712299625495,1.6913009414607545,0.11198938686028999,0.188588660628865,1.6818784702905962,74.74005855533984,173.74712425463898,2.3181493030847604,68.99531755437576,89.8616072071278,1.298245983992788,11.767257360339501,13.052532874474842,1.1066500795593708,1.8069940583627917,1.4223151157239027,0.7868832334095819,9.358925338183962,19.198701974379546,2.06484258826543,1531430064008
biz,12638.466993415883,11.792311783377817,233.76380134811552,0.16705449294772678,0.9806542936431327,18.9717251291936,37.15603971452841,1.9603545994298506,0.10001595941910578,0.13253991874650406,1.2901634662827575,148.18224935270004,211.43095901606193,1.4270072259322089,121.32250844013913,109.09580659123787,0.8994838629946819,12.70784499606792,18.801398494396153,1.4744473092724968,1.3399007265607423,0.4609732167670535,0.3435727337564812,3.3473445220794553,4.02201299464084,1.210628191759829,1531430200105
c,864.7437713342969,0.9509334778418856,97.45226529520285,0.9386014765006693,0.2597137014353003,75.86310975496572,47.65989174612712,0.6282454162952406,0.005740998141824595,0.009751545958449617,1.5105163577743976,25.7567870892796,125.00323957932726,4.852705508617008,23.18846415779689,55.17468813851559,2.379619806926031,17.195600944455837,13.352572254305237,0.7765063718539821,5.894472130380275,5.826880370040553,0.9883644377962663,372.65768220024626,302.9221589803126,0.812918604426209,1531430223132
cgl,992.8755650505506,1.0929146552140643,274.6408627940241,0.24078095394222357,0.9241471326506966,135.16637842569597,124.41628630940562,0.9204464105877922,0.01056870721256716,0.024712265694534403,2.270841259103106,166.88019807346544,225.81288257733448,1.3531716788089139,165.65945978567876,109.03103143012807,0.6579027676082173,59.2843323346435,51.324777493110986,0.865821729701504,2.0938135898744186,0.8808338183769218,0.4204270106862127,670.7565234515836,871.0914576571789,1.2988471649189481,1531430250768
ck,4985.746902985832,4.891216453661705,128.31386587919368,0.1617331369653913,0.9660366409941683,31.81480798039392,44.03802805018274,1.3825373839000672,0.05308930835127395,0.0704578361448031,1.3021978177715567,105.78702452399385,142.9067938713819,1.3510381165410534,101.25209821881691,56.89149594682234,0.5615094605477543,21.602943200064995,25.97868214061667,1.2024105978473696,1.4360275309881871,0.5035209844347873,0.3500090438367427,14.84921062161652,17.07295530508559,1.1636658525079369,1531430312688
cm,413.76801310393256,0.5227254865687198,76.04511360884361,0.8109439697276905,0.3800535729652548,84.62943074463296,68.60847641293721,0.8108490317982535,0.004882017964178631,0.01326445908842117,2.641354124288338,37.87078734169466,117.59067316122447,3.105302028809627,31.93457215304366,45.284438270692355,1.4178529531795663,23.211838285172238,21.012609469989943,0.9053303842335804,4.651989605715825,4.29824741270962,0.9238547574412778,1276.9856781219619,1583.3674604450223,1.2399888008456232,1531430323893
co,19175.199652043637,18.320826578402226,177.61413099796584,0.3133048792791315,0.873800944452408,92.01281518237074,119.48060827211629,1.2999519522039333,0.14015517478812325,0.16513394316833238,1.1625567720662597,117.96454644306982,209.99579813403193,1.7802792157416498,110.99793099014369,92.72976721551144,0.8255174434798281,36.56510441843444,41.22852852401786,1.1282852575126634,2.469870153484782,3.651464646716566,1.4310130128204184,12.866818798865012,18.26917487058591,1.4381654126094545,1531430459008
d,1466.634358671328,1.5139536702724614,137.78948897340945,0.6688921345770721,0.5006160112896695,129.64864198966674,94.2856499079931,0.7275231069114731,0.010748548308340546,0.022501870755861342,1.8704904949254788,67.50496223359899,178.68498564608444,2.647260358218569,61.64405741744816,79.03304531093478,1.2813959197467266,44.26319763530845,36.031271875981254,0.8141839118142343,3.54390673920852,2.387749865634167,0.6697086595884721,484.01883967439176,555.6580743995578,1.1482029286763569,1531430494172
diy,658.777635234137,0.714951329853688,361.67111428817543,0.18663162495138252,0.976709209042743,42.36749232152777,63.78081157641473,1.5055103214792964,0.00711035704343663,0.013703762003222396,1.82024995824123,196.2369048775254,243.95659977813384,1.2431682535395454,198.49580013344516,115.028264666424,0.5783636713598386,21.875210007579856,25.275188910155205,1.1556711272842508,1.7232836756281993,0.7544223843471723,0.4376900881340399,158.4910177416735,233.47149536970417,1.4735443351320636,1531430521332
e,383.13347245641165,0.46011063256508344,135.65873627934954,0.766669875250412,0.4259241893584493,129.63625903284023,94.01147929931658,0.7252214105576386,0.004228893264633275,0.01578273905895973,3.1821988212861996,37.57534076112849,124.48678257857942,3.312899505632562,34.18216948704643,67.41058455259873,1.971796880843361,43.23338030546724,39.22025527429925,0.9071960375369112,4.197177697734636,3.517715757081902,0.8376159169574829,1721.4809222662377,1797.1769434452053,1.0440209480792577,1531430537330
f,167.21258342649446,0.19997408847874773,12.433441677689595,0,0.9951099519488383,1.6164390223765432,2.383653931463629,1.4996727490852029,0.00359291560301375,0.0055904143376877095,1.5547887664111106,29.77537183582184,45.89485805228492,1.5311819683586256,17.4354928242887,21.515027021376696,1.273270451960153,2.4752595617283957,2.1103500211770814,0.8516320928880622,1.0353940500169891,0.11751348429742188,0.11300918879500514,8.065628724704638,5.2698450758014435,0.6541774489157518,1531430542334
fa,2411.1514293034047,2.319139616887982,135.4911583959242,0.3061583383334025,0.8971978523425291,42.7771088044753,72.24841687826914,1.6910713448586738,0.018011937740897644,0.03004241304627249,1.6553357089186702,83.33795071760579,135.0586549333587,1.6204140046301336,91.41326928305203,65.0749039064842,0.7093020036762022,26.392040530169748,41.8931612210614,1.5889076531639124,1.4598302346387297,0.5720734692340419,0.3918183982767291,42.43796896143863,56.82095386970756,1.3411373222339213,1531430596374
fit,13194.529820617217,12.23099858300555,209.32983309523482,0.1999067826349392,0.9629988832806523,36.30203457687742,57.9937421026959,1.5991610235701559,0.0971574728758825,0.11147120726388061,1.1468197685658819,116.84068165591735,168.01318010931058,1.4386481140188108,126.32545454072367,96.37000310608886,0.7573410452245546,23.74059268731908,32.5218782909274,1.371182496744562,1.3602366094558624,0.45016668650250935,0.33012324708611934,6.149084809976839,6.796398615419208,1.1153677166628373,1531430718482
g,12856.738931914602,11.637838929745442,264.3168813531743,0.1660605690983009,0.967025855903735,56.201429711908794,77.50360060831822,1.380794939717853,0.09123927872649999,0.09996611661096226,1.0743632307482553,129.92915438286923,183.80664976851202,1.4143209574661952,124.92356163955016,84.78054327233333,0.6731039248782262,30.35884491554255,35.726978617736755,1.1759316319817243,1.5893775559565426,0.6541874540397342,0.41117086116941465,11.869808378830454,14.731388562671457,1.2529777701144627,1531430847543
gd,69.1959522435029,0.10000000000000002,203.88640682629273,0.31718826499901215,0.8958371698882681,17.547244549922844,39.189225243167385,2.233359354573904,0.0012554016481534267,0.005346399893789728,4.110628804416785,133.4154844612691,226.3023705484442,1.69622647068212,163.36895104513718,165.90747909559295,1.0152946330553207,11.866718705478396,22.717502845205,1.9143922530228883,1.4273720074011822,0.6781218434848492,0.47496699463578657,489.8331681154952,529.47249323978,1.0813301064592082,1531430859476
gif,6128.452293666949,5.66117552993816,72.31103888768938,0.3592102085270015,0.6998392434094574,123.7515656632563,97.22571079749427,0.7865570481399718,0.04645996426662175,0.07915035183088853,1.6291542952891582,50.26485749168239,108.57144704171884,2.158612354083991,43.05634608423882,27.876690664806627,0.6473708763216778,70.53007143251416,60.3067331253984,0.8561766957373935,2.468863267975959,3.471687219624338,1.399892818787917,81.0041682569478,75.07398690192154,0.9286106557006528,1531430943982
h,1073.377302049129,1.0873279693176743,235.30926833023167,0.5144667742011666,0.6530894499772,135.95933674963578,124.1972018516334,0.9134177851276494,0.007578184390953404,0.017245780308144706,2.2590697788212446,70.89465878993873,148.1682310048509,2.090014662430797,65.69244106021752,67.2591200504727,1.0232980777150644,57.83817432269132,50.5023683068267,0.8732076759760998,2.815299691470115,2.5935070459590963,0.921155227682455,942.6279408648466,1188.6070033149892,1.2609999619832626,1531430966430
hc,508.244389472038,0.6348855406608123,71.42436504750127,0.6953427207212394,0.43486452492464567,86.2035779170043,85.2531389291233,0.9891771990068373,0.004404214348377352,0.008524332625846976,1.8599075579989892,29.83120885044948,103.11365611640606,3.456438961285667,34.80290847634164,71.32206983595376,1.9035434626454464,32.70655691070356,36.61723969764601,1.119752336533292,3.462347482627281,2.9769844817946844,0.8598503952226699,567.0075178648882,632.6855906835377,1.1160255031367783,1531430988479
his,5160.606028401761,5.174798724487342,269.54420446639267,0.2110835679127029,0.9612296637042678,55.174959294324104,70.86366352254656,1.2855059756933094,0.043413930350842816,0.0588794132433467,1.3255572077117186,157.44141024038882,271.6258363548331,1.7256604867026628,170.96651934403482,157.94328530481008,0.9190339851915629,29.702405223052864,35.44309321115046,1.193580223351535,1.7293645508577853,0.8797587960006262,0.5085923244867527,65.60566381241618,149.68614052154254,2.2830175532906853,1531431065543
hm,452.31461090297984,0.5647284098744763,108.08862216708538,0.5488862689511426,0.5789945333033393,75.65039758751571,77.6259287282876,1.0261707191521596,0.003528346092345366,0.0065712477036153375,1.6130492144708037,47.357765114709984,125.41464750112978,2.6481920583541445,55.99681781876938,84.56679701469461,1.5086583307810606,34.10450714646047,36.59773536364588,1.0731507830224902,2.3656951972944738,1.2968621227156714,0.5481974761103988,603.3986005184858,798.5123763350671,1.3234498174311866,1531431076562
hr,860.8721144247343,1.0334670946985833,96.89650504677496,0.6603824993714215,0.465758077294655,154.64159134128084,100.65584082547353,0.650994205293308,0.00922137464328851,0.02749900597636756,2.7608306729890484,29.678875209336542,82.96245659781344,2.7953424502643096,27.787579915346914,21.734947660085847,0.7822097593042162,40.63632012330248,29.696148584755207,0.7308159776082381,5.054802014063415,5.82778696229389,1.152961525608476,1527.1488128410167,1874.1931883504765,1.2272531652121923,1531431102310
i,106.28693934615029,0.15000000000000002,104.55142741093637,0.5437656154989785,0.7609538332022675,65.65176327976728,82.68290773441743,1.2594859268072087,0.0008147130052564043,0.0016728868682508449,1.9807462972950398,65.55133744997487,159.3366315210416,2.430716136022389,60.02875992598414,74.71521391358385,1.244677870651448,35.45923740688398,43.46037861654073,1.225694117668409,1.7704679510671755,1.0144038734916163,0.5729512535123487,2415.9130713108257,4351.889984366305,1.8014222790919838,1531431109328
ic,1552.6394801926854,1.5874277028958987,315.199058370307,0.2853908457132215,0.9301972371974894,44.87581485861609,64.15523161122141,1.4292762553621277,0.015896537133489274,0.027099199094614376,1.6882407426826127,141.65889945760034,221.0339707455473,1.560326928888035,154.52637892823032,114.80036047153288,0.7411537556820996,23.11738741010544,26.716105668047643,1.1557280741012872,1.7153317862343045,0.7453028635871058,0.43398507763479954,66.59044569304355,78.25992713983776,1.17516762455938,1531431145343
