Board,postsPerDay_mean,dailyPeakPostsPerMinute_mean,OPLength_mean,repliesWithImages_ratio,repliesWithText_ratio,repliesPerThread_mean,repliesPerThread_standardDeviation,repliesPerThread_coefficientOfVariation,repliesPerMinutePerThread_mean,repliesPerMinutePerThread_standardDeviation,repliesPerMinutePerThread_coefficientOfVariation,postLengthByPost_mean,postLengthByPost_standardDeviation,postLengthByPost_coefficientOfVariation,postLengthByThread_mean,postLengthByThread_standardDeviation,postLengthByThread_coefficientOfVariation,postersPerThread_mean,postersPerThread_standardDeviation,postersPerThread_coefficientOfVariation,postsByPoster_mean,postsByPoster_standardDeviation,postsByPoster_coefficientOfVariation,threadAgeHours_mean,threadAgeHours_standardDeviation,threadAgeHours_coefficientOfVariation,created
3,160.3313295763883,0.20538646811668584,226.19594594594594,0.20197813638729825,0.9609578344612181,38.42,68.0966244880513,1.772426457263178,0.001962979375081991,0.004120288560282348,2.098997377448374,164.28462709284628,229.32241088338432,1.395884782048302,166.93622127204196,123.59542490037792,0.740375120262036,19.673333333333332,26.08511623299557,1.325912380531798,1.5566148410106324,0.6352481517158612,0.4080959110626405,558.6466267129465,925.6801264952087,1.657004772304582,1531074062801
a,43307.344381076,39.10755934708804,123.06338028169016,0.28470380194518125,0.9293840259357501,113.09999999999998,146.84407830530074,1.2983561300203426,0.26981983681475,0.27269369623167733,1.0106510308910328,99.36418346479697,148.97861019395978,1.4993190201853805,89.31779395552068,51.765135859671574,0.5795612897184862,40.126666666666665,41.99988835963998,1.0466827137308519,2.261169616346084,1.5799932419414635,0.6987504300958364,7.39224461111007,9.56775804447339,1.2942967322934178,1531074213921
aco,2265.904597608943,2.2606377168351304,165.7906976744186,0.6335608378441986,0.5304306895740174,143.5472972972973,103.25096259347505,0.7192818293167479,0.025428084414150048,0.07419666284068814,2.9179021758870554,52.155237694572996,131.73929936799667,2.525907371748107,45.93562462539338,51.909501068820155,1.1300488780144813,43.851351351351354,34.9967884366059,0.7980777640397031,4.12266542260715,3.1765144332364326,0.7705001758856346,399.0969825938523,388.54940817046963,0.9735714002275065,1531074257389
adv,3614.640130111813,3.396875783867055,493.5466666666667,0.08410548823948681,0.9896650035637918,18.706666666666667,39.46484455253253,2.1096673852030934,0.033129990040249815,0.04880195108158628,1.473044544302504,243.63700947225982,307.3059249331853,1.261326945355462,267.1895771154519,217.23551980884724,0.8130388997733259,11.153333333333334,18.54534502839519,1.6627625548471479,1.48669213851511,0.5487390431631637,0.3691006557088797,11.173432027779244,13.460292641626182,1.204669488135908,1531074303861
an,1010.3024124442254,1.0434594051772883,201.33098591549296,0.31491344873502,0.8912117177097204,50.06666666666667,77.66557939153111,1.5512432634793163,0.011867597032439137,0.030462009307852294,2.566822013301159,130.2458224543081,223.42297231544106,1.7153945370786898,107.94983660580105,108.32405416671783,1.0034665875621778,25.459999999999997,34.06281061020461,1.3378951535822707,1.6932626390563634,1.268167769824802,0.7489492418798879,126.27678965555297,251.58844354742783,1.9923569821001095,1531074332863
asp,5511.561294446304,5.705598532087788,165.3310344827586,0.2368778895838999,0.9301060647266793,24.513333333333332,36.520265911165296,1.4898123162020112,0.04187659655267383,0.060472939497055685,1.4440748407285373,83.73530180297884,126.67150818276254,1.5127611109685672,83.1466519265442,49.75197781849949,0.598364175414457,15.106666666666667,14.690653113081419,0.9724615917750278,1.433922029387812,0.7546701232376613,0.5262978793622791,15.556026220365808,30.1797411205051,1.940067514221213,1531074391915
b,92715.6851971165,79.98816036639482,118.36,0.37799717912552894,0.7742018207462497,51.99333333333333,76.69189411027885,1.4750332243289945,0.5736871901550117,0.8286756935583677,1.4444730643793136,52.082651905900114,120.15159350493894,2.306940777939299,63.37061977156705,70.27739257865373,1.1089901413617798,21.046666666666667,33.17073743862538,1.576056577698387,2.413221054398816,2.2227743593915394,0.9210819519993286,1.4854501425910878,1.9804967737224883,1.3332637137641556,1531074543768
bant,11309.300840871607,13.36000050863719,103.68027210884354,0.3918552036199095,0.8847662141779788,22.100000000000005,33.81927458319195,1.5302839177914909,0.11402415107000215,0.2638698083164201,2.3141571837217545,58.02251082251083,116.61082924046543,2.0097515186334247,59.62420690401441,52.02458583170249,0.8725413474338349,12.053333333333333,13.370508176164767,1.1092788862968557,1.672942341098377,1.3692945761631992,0.8184947816337672,8.784073937032842,20.401383956787324,2.322542376468051,1531074621805
biz,13004.021387141622,12.575122731751529,283.36551724137934,0.15488338192419826,0.9821428571428571,18.293333333333333,32.48846906553495,1.7759731632034412,0.10917182834050349,0.14183986032395138,1.2992349993586012,154.54906703524534,227.88212326817384,1.474496919584799,138.31204494484737,96.78312167949711,0.6997447092774159,12.233333333333333,15.311615053793481,1.251630658348241,1.4089091409800492,0.6546382463209965,0.4646419185453114,3.4530794277787202,4.34488653238529,1.2582642893853868,1531074738860
c,867.76709195662,0.9421938654102174,94.5,0.9461883408071748,0.2466367713004484,77.30666666666667,46.755526827198594,0.6048058834149524,0.00810757444290476,0.025711801779217513,3.171330952344059,19.7907372722629,87.48592338047074,4.4205489758627605,18.357276244069702,41.158891182739644,2.2421022942352886,17.673333333333332,12.959164925085089,0.7332609350293336,5.949753272253016,5.403198913230798,0.908138315319544,376.5387061592707,306.4525045412448,0.8138672054915373,1531074770901
