Board,postsPerDay_mean,dailyPeakPostsPerMinute_mean,OPLength_mean,repliesWithImages_ratio,repliesWithText_ratio,repliesPerThread_mean,repliesPerThread_standardDeviation,repliesPerThread_coefficientOfVariation,repliesPerMinutePerThread_mean,repliesPerMinutePerThread_standardDeviation,repliesPerMinutePerThread_coefficientOfVariation,postLengthByPost_mean,postLengthByPost_standardDeviation,postLengthByPost_coefficientOfVariation,postLengthByThread_mean,postLengthByThread_standardDeviation,postLengthByThread_coefficientOfVariation,postersPerThread_mean,postersPerThread_standardDeviation,postersPerThread_coefficientOfVariation,postsByPoster_mean,postsByPoster_standardDeviation,postsByPoster_coefficientOfVariation,threadAgeHours_mean,threadAgeHours_standardDeviation,threadAgeHours_coefficientOfVariation,created
3,165.74468277151766,0.20806063952400505,229.42567567567568,0.2050607952678278,0.9618797239566218,40.57333333333333,71.02566171618692,1.750550321628005,0.0018291972206679408,0.003448438923006755,1.885219857128112,166.66132135984606,231.1126782125605,1.3867205439560544,166.12190247408788,121.34035108381666,0.7304295777779432,20.30666666666667,26.59246676953625,1.3095436688872086,1.5905787526027653,0.7478011266202345,0.4701440437303465,579.4979187240684,931.4151278499578,1.6072795048181303,1531239976848
a,44560.83377504849,40.04278877598788,107.6027397260274,0.26768968456947995,0.9280335322534811,93.84,127.70847426854652,1.3609172449759859,0.21307295628195835,0.2731009908928734,1.2817252628319487,92.00175734570504,139.87050380503095,1.520302522912195,81.42071499755119,50.89325085239807,0.6250651428684794,37.64,38.070334907904346,1.0114329146627083,2.0607791070125034,1.6523945886644507,0.8018300375045606,8.470014694442131,12.180022581037976,1.438016700139881,1531240374303
aco,2305.898553647774,2.3091259312313865,156.77862595419847,0.6439357963719251,0.5192800835786874,140.38666666666666,95.64056229213395,0.681265283684115,0.016618260860119954,0.038343037398821174,2.3072833987602,53.02301018483591,137.64143488389365,2.59588119203496,44.38523470402186,46.49157070317134,1.0474557814821832,43.20666666666666,33.55121392074444,0.7765286357215964,3.861528111251174,2.149355183547588,0.5566074159307818,397.45379219443845,400.3712175642419,1.0073402881721059,1531240410330
adv,3672.5273353269363,3.453310420895183,438.9594594594595,0.05903614457831325,0.9955823293172691,16.6,43.2163549288152,2.603394875229831,0.032992732261164524,0.04785719833453644,1.4505375897851527,215.0026515151515,285.04027558415453,1.3257523736355752,240.18323604488032,183.50966981341702,0.7640402920507186,9.426666666666666,15.456324128186349,1.639638344574224,1.5045074445256856,0.7383653375566552,0.4907688162283796,8.570950272232515,6.521564531842388,0.7608916543327098,1531240467868
an,1047.6293559168203,1.0838756074349385,217.0709219858156,0.3078523140925637,0.8887155486219449,51.28,78.49637953434538,1.5307406305449567,0.00848031037590469,0.013871159523965329,1.6356900760823314,129.17061973986227,220.89081654130814,1.710070114908188,116.29280542297612,107.04864553456035,0.9205096148915384,26.613333333333333,34.845714546013006,1.3093329613982843,1.6420781048470883,0.7741769197965471,0.4714616908363437,136.41126106480624,259.16405842861843,1.8998729020289227,1531240492434
asp,5415.702721670126,5.553758242766575,128.35416666666666,0.23841463414634145,0.9109756097560976,32.8,56.06294081952299,1.7092360005952134,0.052887153642749485,0.1073434099975388,2.0296688818354465,78.08402366863905,124.99475350403293,1.6007724452631489,74.70288246578444,46.9854399023636,0.6289642159910491,16.846666666666668,17.621856378435904,1.0460144268956808,1.5587508069314961,1.0429152107481245,0.669071160130574,21.086312846293275,40.00309087724776,1.8971117031624536,1531240546464
b,92941.21056956158,80.10109485176889,116.84666666666666,0.406653088934148,0.7596741344195519,49.1,72.13873208385822,1.46922061270587,0.49683311648306167,0.7704561853299393,1.5507343608328215,55.22435129740519,121.52953677690873,2.200651233047965,67.15925446531304,78.64047744375274,1.1709551880801419,21.326666666666668,29.420513629476684,1.3795176756553618,2.0187771367783225,1.309516426892969,0.6486681481754686,1.6047789870372526,2.048142204458141,1.2762768088329888,1531240697558
bant,11273.500721196306,13.702527376944614,114.0774647887324,0.3505392912172573,0.9278376990241397,25.96,42.70532831704571,1.6450434636766453,0.08862539506572377,0.1290013839627706,1.4555803544469887,59.76285855588526,124.35819963062251,2.0808609667546785,51.87992562728614,41.4760899487405,0.7994631728409077,13.793333333333333,19.3546882061054,1.4031915084175013,1.6628249513411695,1.0875493046877642,0.6540371575556342,7.836824037041929,10.869839275039425,1.3870209696761715,1531241516252
biz,12808.101474143154,12.104425367222952,248.02836879432624,0.14629049111807732,0.9822361546499477,19.14,45.14554684572999,2.358701507091431,0.10739511081516684,0.13339854243948113,1.242128635344189,156.38728897715987,247.5969491185409,1.583229370736787,148.82720696846982,158.540703868674,1.065266943444434,11.673333333333334,15.885211851138646,1.3608119803945156,1.3291391648659479,0.4964861076950538,0.37353959676985937,3.275883494443805,5.986828373257354,1.8275461820945578,1531241651369
c,868.0199885552411,0.949837185963407,98.74820143884892,0.9486109878405964,0.2356439158604775,75.11333333333333,44.6875876378317,0.5949354882111259,0.006962958536899751,0.020713256992156096,2.974778161091657,21.48743102391171,108.3659841251015,5.043226619529777,22.88494851779543,55.7363655655081,2.4355032095513467,17.113333333333333,13.106505594127253,0.7658651496373541,6.05175724172921,5.9455520121668615,0.9824505139052798,383.29707426665846,317.27964922986445,0.8277643387622993,1531241676350
