Board,commentsAnalyzed,sentimentScore_mean,sentimentComparative_mean,commentLength_mean,text_ratio_boomer,text_ratio_trump,text_ratio_thank,text_ratio_meme,text_ratio_sjw,text_ratio_kek,text_ratio_/pol/,text_ratio_eddit,posts_ratio_boomer,posts_ratio_trump,posts_ratio_thank,posts_ratio_meme,posts_ratio_sjw,posts_ratio_kek,posts_ratio_/pol/,posts_ratio_eddit,created
3,6236,0.1852148813341886,0.009878190537324413,166.66132135984606,0.00001731934956220533,0.00006254209564129703,0.0009766188780910227,0.0003155970364668527,0.00001154623304147022,0.00009814298085249688,0.00006735302607524295,0.00007697488694313481,0.0004810776138550353,0.001924310455420141,0.03175112251443233,0.011385503527902501,0.0006414368184733803,0.005452212957023733,0.002084669660038486,0.0024053880692751764,1531239976848
a,47806,-0.296699159101368,-0.017270565867040656,93.69848972932267,0.00004956076216415328,0.000029022067933963635,0.00043756348577360556,0.00038844921696228247,0.000009376360409434405,0.00012323216538113788,0.000027905834551888107,0.00012055320526415663,0.0007530435510187006,0.0005229469104296532,0.007969710914947914,0.008408986319708824,0.00027193239342341967,0.0038488892607622476,0.0005020290340124671,0.002196377023804543,1531240374303
aco,21379,-0.039103793442162874,0.009919068529831524,53.29804948781515,0.00002106262708882022,0.00000877609462034176,0.0013997870919445106,0.00015094882746987824,0.000013164141930512637,0.00008951616512748593,0.00003949242579153791,0.00003949242579153791,0.00018709949015388932,0.00009354974507694466,0.014687309977080313,0.0019177697740773657,0.00023387436269236168,0.0013564713036156976,0.00037419898030777865,0.0003274241077693063,1531240410330
adv,4432,-0.5927346570397112,-0.028816665317370427,215.53000902527077,0.00006909337970266816,0.00002093738778868732,0.0005914812050304168,0.00019262396765592336,0.000003140608168303098,0.00005653094702945577,0.00002093738778868732,0.00001570304084151549,0.002256317689530686,0.0009025270758122744,0.025045126353790612,0.010379061371841155,0.0002256317689530686,0.004061371841155234,0.0009025270758122744,0.0004512635379061372,1531240467868
an,7934,-0.4377363246785984,-0.009734049008100069,129.88732039324427,0.000052400424637515214,0.00010188971457294624,0.0007423393490314655,0.00020960169855006086,0.000011644538808336714,0.00007568950225418864,0.00006307458521182386,0.00009703782340280594,0.001134358457272498,0.0018905974287874968,0.018779934459289136,0.0061759516007058235,0.0005041593143433325,0.0032770355432316612,0.0015124779430299975,0.002268716914544996,1531240492434
asp,7453,-0.30470951294780624,-0.030008684645351877,75.80410572923655,0.0005841038784497529,0.00023895158663853527,0.00047790317327707054,0.0004248028206907294,0.000053100352586341176,0.00019647130456946235,0.000035400235057560784,0.0001858512340521941,0.006842882060915068,0.003622702267543271,0.007245404535086542,0.007782101167315175,0.0010733932644572655,0.004830269690057695,0.0005366966322286328,0.002817657319200322,1531240546464
b,78482,-0.6107769934507276,-0.035672337498404115,58.01466578323692,0.0000527112584878853,0.00039094183378514933,0.000989434247866347,0.0002064524290775508,0.000031626755092731185,0.00026487407390162366,0.0000625946194543638,0.00010761881941276583,0.00045870390662827146,0.0037843072296832397,0.011187278611656176,0.002637547463112561,0.000586121658469458,0.004841874569965088,0.0006880558599424071,0.001210468642491272,1531240697558
bant,9858,-0.528809089064719,-0.03885306761047109,62.90048691418138,0.0001741730409161502,0.00008063566709081027,0.0010885815057259387,0.0005160682693811857,0.0000580576803053834,0.00016449676086525297,0.00033866980178140314,0.0003789876353268083,0.001724487725705011,0.0010144045445323595,0.01328869953337391,0.00699939135727328,0.0009129640900791236,0.003448975451410022,0.004159058632582674,0.0044633799959423815,1531241516252
biz,12531,-0.20381453994094645,-0.024978054769297126,140.50778070385445,0.000487305354736148,0.00006815459506799272,0.0005026401386264464,0.0005429649407083421,0.000023854108273797455,0.0003015840831758678,0.00010507166739648879,0.00016470693808098242,0.010134865533476978,0.0016758439071103662,0.013885563801771606,0.0173968557976219,0.0011172292714069108,0.013885563801771606,0.0027132710877024978,0.003990104540738967,1531241651369
c,11437,0.331118300253563,0.03079102093462874,21.5292471802046,0,0,0.0017057222921658612,0.00009746984526662064,0.00001218373065832758,0.00008528611460829305,0,0.0001218373065832758,0,0,0.0063827926903908365,0.0005246130978403428,0.0000874355163067238,0.0006120486141470666,0,0.0003497420652268952,1531241676350
cgl,20332,0.37600826283690736,0.013672274918417677,160.83631713554988,0.000018347928090800225,0.00003057988015133371,0.0009311573506081115,0.00016268496240509533,0.000018347928090800225,0.000050456802249700624,0.00003822485018916714,0.00002446390412106697,0.0004918355301987016,0.0008361204013377926,0.02832972653944521,0.0060003934684241585,0.0008853039543576628,0.0027050954160928588,0.0010820381664371434,0.0007869368483179224,1531241706341
ck,8106,-0.4886503824327659,-0.03394667353987885,112.12447569701456,0.0002706624959703195,0.00002750635121649589,0.0005226206731134219,0.00046210670043713093,0.00003300762145979507,0.00011882743725526224,0.000247557160948463,0.00039059018727424165,0.0048112509252405625,0.000616827041697508,0.010979521342215642,0.012583271650629163,0.001233654083395016,0.0044411547002220575,0.004687885516901061,0.007895386133728102,1531241768402
cm,13756,0.23029950567025298,0.027075251215511083,39.066007560337304,0.000011165034090570757,0,0.00191666418554798,0.00020097061363027362,0.000022330068181141513,0.00011165034090570757,0.000027912585226426893,0.000027912585226426893,0.00007269555103227682,0,0.014102936900261704,0.0018173887758069205,0.0002907822041291073,0.0014539110206455365,0.00021808665309683048,0.00021808665309683048,1531241778383
co,20029,-0.14414099555644316,-0.008759053320913611,125.28453742073992,0.000047821644395064166,0.00019128657758025666,0.0004503204847201876,0.0001960687420197631,0.00003347515107654492,0.00003945285662592794,0.00011556897395473841,0.00006376219252675222,0.0008986968895102102,0.003295221928204104,0.010784362674122522,0.005791602176843577,0.0012981177292925258,0.001647610964102052,0.0027460182735034202,0.0015477557541564732,1531241902528
d,20029,0.03320185730690499,0.011548063389816775,67.95311797893055,0.000008816832508837038,0.0000036736802120154324,0.0011204724646647068,0.0001028630459364321,0.000019837873144883334,0.00003967574628976667,0.000025715761484108025,0.00003306312190813889,0.0000998552099455789,0.00004992760497278945,0.014628788257027311,0.001647610964102052,0.0003994208397823156,0.0008986968895102102,0.0003494932348095262,0.0004493484447551051,1531241944500
diy,6489,-0.04977654492217599,-0.005858027360758252,189.66990291262135,0.00026325026325026325,0.000008125008125008125,0.0006215631215631215,0.00015925015925015925,0.000007312507312507313,0.00006581256581256581,0.000012187512187512187,0.000056875056875056876,0.005856064108491293,0.0003082139004469102,0.022653721682847898,0.007088919710278934,0.0004623208506703652,0.004160887656033287,0.0004623208506703652,0.002003390352904916,1531241965516
e,19547,0.06686448048293855,0.005916001372419778,35.13986801043639,0.000008735162961744354,0.00005823441974496236,0.0018707807343069157,0.0000815281876429473,0.000008735162961744354,0.00008735162961744353,0.00006551372221308265,0.00005823441974496236,0.00005115874558755819,0.00035811121911290733,0.01304548012482734,0.0007162224382258147,0.00010231749117511638,0.001023174911751164,0.00040926996470046554,0.00035811121911290733,1531242016215
f,153,0.10457516339869281,0.0741361243194953,38.38562091503268,0,0,0.011918951132300357,0.0027243316873829387,0,0,0,0,0,0,0.0915032679738562,0.0196078431372549,0,0,0,0,1531242023222
fa,7203,0.36609745939192,0.014398246050641642,112.35957240038873,0.0004448145741024013,0.00003088990097933342,0.001408579484657604,0.0003360821226551476,0,0.0001037900672905603,0.00012973758411320038,0.0002285852672470673,0.0063862279605719835,0.0006941552131056504,0.02943218103567958,0.008885186727752325,0,0.003887269193391642,0.0026377898098014717,0.004026100236012772,1531242080276
fit,14513,-0.6060084062564597,-0.033470608269185916,122.69337835044443,0.0005559770622958259,0.000008423894883270088,0.0005559770622958259,0.0005773175960001101,0.000006739115906616071,0.0001802713505019799,0.00008704691379379091,0.00016286196774322172,0.010955694894232757,0.00020671122441948597,0.013298422104320265,0.01660580169503204,0.00027561496589264796,0.006959277888789361,0.0017914972783022118,0.003651898298077586,1531242325819
g,13891,-0.2683032179108775,-0.019978219171468806,128.5276797926715,0.0002654899970762494,0.00003080580134850995,0.0006833286844578571,0.0005601054790638173,0.00002016379724629742,0.00010417961910587001,0.00002240421916255269,0.000128824260184678,0.005327190267079404,0.0007918796342955871,0.017277373839176446,0.01662947232020733,0.0007918796342955871,0.004247354402130876,0.0005759124613058816,0.003311496652508819,1531242457245
gd,2711,0.42419771302102544,0.025618459834913142,129.83769826632238,0.00001704593880507969,0.00029830392908889456,0.001335265206397909,0.000295462939288048,0.00001704593880507969,0.00011079860223301799,0.00002840989800846615,0.000014204949004233075,0.00036886757654002215,0.004426410918480265,0.03282921431206197,0.009221689413500553,0.0007377351530800443,0.004057543341940244,0.0007377351530800443,0.00036886757654002215,1531242463259
gif,18686,-0.4696564272717543,-0.031049354068235016,52.99095579578294,0.00002423779702662825,0.00004544586942492797,0.001105849489339914,0.00013734751648422674,0.000018178347769971188,0.0004877856651608935,0.00012623852618035548,0.0002423779702662825,0.00021406400513753612,0.0004816440115594563,0.01155945627742695,0.001712512041100289,0.00032109600770630417,0.006957080166969924,0.0010168040244032965,0.001873060044953441,1531242558311
h,17970,-0.11452420701168614,0.0008437496276850463,66.81074012242627,0,0.000008329245062215296,0.0016117089195386597,0.00005997056444795013,0.000004997547037329178,0.00007996075259726684,0.00002082311265553824,0.000016658490124430593,0,0.00011129660545353366,0.020589872008903727,0.001001669449081803,0.00011129660545353366,0.0017250973845297718,0.0002782415136338342,0.00022259321090706732,1531242597428
hc,13713,-0.19601837672281777,0.0053727218557421816,31.592941004885876,0.00006924664269194015,0.00009232885692258687,0.0012118162471089528,0.000046164428461293436,0.000020773992807582045,0.00017311660672985038,0.000023082214230646718,0.000046164428461293436,0.0003646175162254795,0.0005104645227156713,0.00729235032450959,0.0003646175162254795,0.0002187705097352877,0.0018230875811273974,0.0001458470064901918,0.0002916940129803836,1531242624430
his,9076,-0.8493829881004848,-0.012389491651656705,167.4121859850154,0.000027641890099793803,0.00008555823126126653,0.0002895817058073637,0.0003159073154262149,0.000021718627935552274,0.00014413271266321056,0.00016124435891546387,0.00007568612765419732,0.0007712648743940062,0.002644336712208021,0.009695901278096077,0.012670780079330101,0.0012119876597620097,0.007382106654914059,0.005178492728074042,0.0025341560158660204,1531263381661
hm,11515,-0.2579244463742944,-0.003426229739918359,46.781676074685194,0.000033414332149599676,0.00011138110716533225,0.0008260765448095475,0.0000891048857322658,0,0.00005569055358266613,0.00007425407144355485,0.00006497231251311048,0.00026052974381241857,0.0008684324793747286,0.007642205818497612,0.0009552757273122015,0,0.0008684324793747286,0.0006947459834997829,0.0006079027355623101,1531236681891
hr,22418,0.09483450798465519,0.02726951431320949,28.60143634579356,0.00003743057797491216,0.00048347829884261534,0.0015596074156213398,0.00016219917122461933,0.00006550351145609627,0.0002199046456026089,0.00008577840785917368,0.00017155681571834737,0.0001784280488892854,0.001918101525559818,0.008876795432241949,0.001025961281113391,0.0005352841466678562,0.0018734945133374967,0.0004906771344455348,0.0008475332322241056,1531236685883
