Board,postsPerDay_mean,dailyPeakPostsPerMinute_mean,OPLength_mean,repliesWithImages_ratio,repliesWithText_ratio,repliesPerThread_mean,repliesPerThread_standardDeviation,repliesPerThread_coefficientOfVariation,repliesPerMinutePerThread_mean,repliesPerMinutePerThread_standardDeviation,repliesPerMinutePerThread_coefficientOfVariation,postLengthByPost_mean,postLengthByPost_standardDeviation,postLengthByPost_coefficientOfVariation,postLengthByThread_mean,postLengthByThread_standardDeviation,postLengthByThread_coefficientOfVariation,postersPerThread_mean,postersPerThread_standardDeviation,postersPerThread_coefficientOfVariation,postsByPoster_mean,postsByPoster_standardDeviation,postsByPoster_coefficientOfVariation,threadAgeHours_mean,threadAgeHours_standardDeviation,threadAgeHours_coefficientOfVariation,created
3,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
a,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
aco,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
adv,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
an,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
asp,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
b,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
bant,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
biz,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
c,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
cgl,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
ck,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
cm,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
co,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
d,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
diy,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
e,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
f,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
fa,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
fit,160.50972771137776,0.20538646811668587,226.84459459459458,0.20250958522133147,0.9606134541652144,38.25333333333333,68.28110394212699,1.7849713473891686,0.0023727314803961954,0.007168282038766793,3.0211096780196316,164.52156929347825,229.77793408264284,1.3966432186940694,168.86293910524736,127.22837917307723,0.75344169565697,19.533333333333335,26.123977917274047,1.3374050128297292,1.5532702928303153,0.6345277652788124,0.40851084850312686,550.2320614685244,927.2118789746737,1.685128773666916,1531074062801
